"GruppeId";"PositionGruppenId";"PositionId";"PositionNeuId";"ValidFromDate";"ValidToDate";"PositionTitle";"PositionHinweis";"PositionAusFach";"PositionFachgebiete";"PositionPunktWert";"PositionGeldWert";"PositionZusatz";"PositionLogik"
"";"1.1";"F6";"";"20100601";"";"Zuschlag für Krankenbesuch bei Nacht (20 Uhr bis 7 Uhr)";"Bei den Pos.-Nr. F4 und F5 ist die Dringlichkeit kurz zu begründen.";"1";"";"48";"";"";""
"";"1.1";"7c";"";"20100601";"";"Ausführlicher Befundbericht";"Die Durchschrift kann vom Chefarzt zur Einsicht angefordert werden. Befunde für private Zwecke können der SVA nicht verrechnet werden. Mindestinhalt: Anamnese, Status, Diagnose bzw. Verdachtsdiagnose, Therapievorschlag; verrechenbar nur, wenn der Bericht in Überweisungsfällen an den Überweiser bzw. in Eigenfällen über Verlangen des Hausarztes an diesen übersandt wird.";"0";"";"15";"";"";""
"";"1.1";"7a";"";"20100601";"";"Zuschlag für Zeitversäumnis (Facharzt) bei Tag";"";"1";"";"30";"";"";""
"";"1.1";"7b";"";"20100601";"";"Zuschlag für Zeitversäumnis (Facharzt) bei Nacht (20 Uhr bis 7 Uhr)";"";"1";"";"60";"";"";""
"";"1.1";"9a";"";"20100601";"";"Wegegebühren: ein Doppelkilometer bei Tag";"";"0";"";"";"1,45";"";""
"";"1.1";"9b";"";"20100601";"";"Wegegebühren: ein Doppelkilometer bei Nacht";"";"0";"";"";"2,18";"";""
"";"1.1";"8a";"";"20100601";"";"Zuschlag für Konsilium (Facharzt) bei Tag";"";"1";"";"50";"";"";""
"";"1.1";"8b";"";"20100601";"";"Zuschlag für Konsilium (Facharzt) bei Nacht (20 Uhr bis 7 Uhr)";"Der berufene Arzt ist anzuführen.";"1";"";"80";"";"";""
"";"1.1";"1j";"";"20100601";"";"Ärztliche Koordinierungstätigkeit durch den behandlungsführenden Arzt";"Verrechenbar von Ärzten für Allgemeinmedizin und Fachärzten (ausgenommen Fachärzte für Radiologie und Fachärzte für nichtklinische Medizin) einmal pro Fall und Monat in jenen Fällen, die einer intensiven Koordination mit anderen Ärzten, Einrichtungen und sonstigen Leistungserbringern bedürfen, insgesamt in höchstens 3 % der Fälle pro Jahr. Die Koordinationstätigkeit ist zu dokumentieren.

Erläuterungen zum Positionstext: 
1. Koordinierung der Heilmittelverschreibung bei multimorbiden Patienten. 
2. Koordination des ambulanten und stationären Versorgungsmanagements. 
3. Telefonische und persönliche Kontaktaufnahme zu anderen Leistungserbringern im Gesundheitsbereich zur Abstimmung der Patientenbetreuung. 
4. Dokumentationszusammenführung des Krankheitsverlaufes. 
5. Organisation	von	Pflegemaßnahmen, Spezialbehandlungen und Rehabilitation. 
6. Erkundung bzw. Organisation von besonderen Behandlungsformen im Ausland.";"0";"";"17";"";"";""
"1.2";"";"";"";"20100601";"";"Diagnose- und Therapiegespräche";"";"0";"";"";"";"";""
"";"1.2";"PS";"";"20100601";"";"Psychosomatisch orientiertes Diagnose- und Behandlungsgespräch";"Gültig ab 1.10.2003.
Das psychosomatisch orientierte Diagnose- und Behandlungsgespräch beinhaltet eine ärztliche Intervention zur Herstellung und Aufarbeitung psychosomatischer Zusammenhänge unter systematischer Nutzung der Arzt-Patienten-Interaktion.
Es dient einerseits der differenzialdiagnostischen Klärung psychosomatischer Krankheitszustände (z. B. Psycho somatosen, Schmerzen ohne körperliches Substrat) und andererseits der Behandlung dieser mittels verbaler Intervention.
Die vorstehende Leistung ist unter folgenden Bedingungen verrechenbar:
a) Zur Verrechnung sind alle Vertragsärzte (mit Ausnahme der Vertragsfachärzte für Labormedizin, für Radiologie und für physikalische Medizin) berechtigt, denen von der Österreichischen Ärztekammer das ÖÄK-Diplom-psychosomatische Medizin verliehen wurde.
b) Das psychosomatisch orientierte Diagnose- und Behandlungsgespräch ist als Einzelgespräch persönlich zu führen und dauert im Allgemeinen 20 Minuten.
c) Das psychosomatisch orientierte Diagnose- und Behandlungsgespräch ist in der Ordination tunlichst außerhalb der Ordinationszeiten zu führen.
d) Der Vertragsarzt hat die ätiologischen Zusammenhänge des psychosomatischen Krankheitszustandes schriftlich zu vermerken.
e) Innerhalb eines Quartals ist eine Grundleistung nur mit dem jeweils ersten psychosomatisch orientierten Diagnose- und Behandlungsgespräch am gleichen Tag gemeinsam verrechenbar, außer bei Vorliegen einer weiteren ärztlichen Leistung unter anderer Diagnose.
f) Eine gleichzeitige Verrechnung des psychosomatisch orientierten Diagnose- und Behandlungsgespräches mit den Positionen 36a, 36c, 36d, 36e, 36f des Abschnittes A.IX. ist innerhalb eines Quartals nur mit Begründung möglich.
g) Die Position psychosomatisch orientiertes Diagnose- und Behandlungsgespräch ist von den Vertragsärzten in höchstens 30% der Behandlungsfälle pro Quartal verrechenbar.";"0";"";"";"19,47";"";""
"";"1.2";"TA";"";"20100601";"";"Ausführliche diagnostisch-therapeutische Aussprache zwischen Arzt und Patient als integrierter Therapiebestandteil";"Gültig ab 1.10.2003.
Die vorstehende Leistung ist unter folgenden Bedingungen verrechenbar: 
a) Mit der „Ausführlichen therapeutischen Aussprache“ soll grundsätzlich eine Erweiterung und Vertiefung der Therapie erreicht werden, darunter fällt jedenfalls nicht die Anamnese. 
b) Zur Verrechnung sind die Vertragsärzte für Allgemeinmedizin, die Vertragsfachärzte, mit Ausnahme der Vertragsfachärzte für Labormedizin, Radiologie und für physikalische Medizin, berechtigt. 
c) Der Arzt hat die „Ausführliche therapeutische Aussprache“ persönlich zu führen, die Verwendung medialer Hilfsmittel (z. B. Video) oder die „Ausführliche therapeutische Aussprache“ mit mehreren Patienten gleichzeitig ist unzulässig. Die Gesprächsführung mit Eltern von Kindern bzw. mit Angehörigen von geistig eingeschränkten Patienten (Apoplexiepatienten) ist zulässig. 
d) Die „Ausführliche therapeutische Aussprache“ hat im Allgemeinen zwi schen 10 und 15 Minuten zu dauern. 
e) Die „Ausführliche therapeutische Aussprache“ ist grundsätzlich in der Ordination zu führen. In medizinisch begründeten Fällen ist die „Ausführliche therapeutische Aussprache“ auch im Rahmen einer Visite zulässig. 
f) Die „Ausführliche therapeutische Aussprache“ ist von den Vertragsärzten für Allgemeinmedizin, Vertragsfachärzten für Innere Medizin und Vertragsfachärzten für Kinderheilkunde in höchstens 18% der Behandlungsfälle pro Quartal, von den übrigen Vertragsärzten (ausgenommen Vertragsfach ärzte für Labormedizin, Radiologie und physikalische Medizin) in höchs tens 11% der Behandlungsfälle pro Quartal verrechenbar. 
g) Die „Ausführliche therapeutische Aussprache“ ist grundsätzlich nur bei eigenen Patienten verrechenbar. Eine Zuweisung zum Zweck einer „Ausführlichen therapeutischen Aussprache“ ist unzulässig. Bei zugewiesenen Patienten kann die „Ausführliche therapeutische Aussprache“ nur dann verrechnet werden, wenn dies im Zuge der weiteren Behandlung medizinisch notwendig ist. Vertragsfachärzte für Neurologie und Psychiatrie können bei zugewiesenen Patienten keine „Ausführliche therapeutische Aussprache“ verrechnen. 
h) Die gleichzeitige Verrechnung der „Ausführlichen therapeutischen Aussprache“ mit den Pos. Nrn. 36d, 36e und 36f für Fachärzte für Neurologie und Psychiatrie ist bei eigenen Patienten innerhalb eines Quartals nur mit Begründung möglich. Die gleichzeitige Verrechnung der „Ausführlichen therapeutischen Aussprache“ mit der Pos. Nr. 34h innerhalb eines Quartals bzw. mit der Pos. Nr. 36a innerhalb eines Monats ist nicht möglich, es sei denn unter Angabe einer weiteren neuen Diagnose. Die gleichzeitige Verrechnung der „Ausführlichen therapeutischen Aussprache“ mit einer Basisuntersuchung im Rahmen des Vorsorgeuntersuchungs- Gesamtvertrages innerhalb eines Abrechnungsmonates ist ausgeschlossen.";"0";"";"";"11,11";"";""
"1.3";"";"";"";"20100601";"";"Allgemeine Sonderleistungen";"";"0";"";"";"";"";""
"";"1.3";"10a";"";"20100601";"";"Blutabnahme aus der Vene";"";"0";"";"6";"";"";""
"";"1.3";"10b";"";"20100601";"";"Blutabnahme aus der Vene bei Kindern bis zu sechs Jahren";"";"0";"";"12";"";"";""
"";"1.3";"10c";"";"20100601";"";"Aderlass";"Verrechenbar bei Polycythemia vera oder sekundäre Polyglobuli.";"0";"";"15";"";"";""
"";"1.3";"11a";"";"20100601";"";"Subcutane, intracutane Injektion";"Pro Ordination bzw. Besuch können intracutane Injektionen nur als eine Injektion verrechnet werden (Quaddelbehandlung).
Bei Serieninjektionsbehandlung ist die Position 11a und 11b ab der vierten Injektion neben der Ordinations- bzw. Besuchsgebühr nicht verrechenbar, ausgenommen bei antiluetischen Injektionskuren.";"0";"";"4";"";"";""
"";"1.3";"11b";"";"20100601";"";"Intramuskuläre Injektion";"Bei Serieninjektionsbehandlung ist die Position 11a und 11b ab der vierten Injektion neben der Ordinations- bzw. Besuchsgebühr nicht verrechenbar, ausgenommen bei antiluetischen Injektionskuren.";"0";"";"4";"";"";""
"";"1.3";"11d";"";"20100601";"";"Intravenöse Injektion bei Kindern bis zum 6 Jahren";"";"0";"";"12";"";"";""
"";"1.3";"11e";"";"20100601";"";"Eigenblutinjektion";"Abnahme durch Venenpunktion und i. m. Injektion.";"0";"";"10";"";"";""
"";"1.3";"11f";"";"20100601";"";"Intraarterielle Injektion";"";"0";"";"20";"";"";""
"";"1.3";"11g";"";"20100601";"";"Intracardiale Injektion";"";"0";"";"15";"";"";""
"";"1.3";"11h";"";"20100601";"";"Subconjunctivale Injektion";"";"0";"";"7";"";"";""
"";"1.3";"11i";"";"20100601";"";"Parabulbäre Injektion";"";"0";"";"6";"";"";""
"";"1.3";"11k";"";"20100601";"";"Endoneurale oder epineurale Injektion";"";"0";"";"30";"";"";""
"";"1.3";"11l";"";"20100601";"";"Epidurale Injektion";"Injektion in oder an den Nervenknoten.
z.B. Ganglion stellatum, paravertebrale Ganglien), pro Abrechnungszeitraum sind höchstens drei Injektionen verrechenbar (darüber hinaus mit medizinischer Begründung.";"0";"";"60";"";"";""
"";"1.3";"11m";"";"20100601";"";"Injektion an den Plexus coeliacus";"In das Ganglion Gasseri.";"0";"";"80";"";"";""
"";"1.3";"11n";"";"20100601";"";"Injektion ans Peritoneum";"";"0";"";"12";"";"";""
"";"1.3";"11o";"";"20100601";"";"Intrapleurale, intraperitoneale Injektion";"";"0";"";"20";"";"";""
"";"1.3";"11p";"";"20100601";"";"Intrasinuöse Injektion";"";"0";"";"20";"";"";""
"";"1.3";"11q";"";"20100601";"";"Krampfadernverödung pro Injektion";"";"0";"";"6";"";"";""
"";"1.3";"11s";"";"20100601";"";"Hämorrhoidenverödung durch Injektion in den Hämorrhoidalknoten pro Injektion";"";"0";"";"6";"";"";""
"";"1.3";"11u";"";"20100601";"";"Periarticuläre Gelenksumspritzung";"Ein großes oder mehrere kleine Gelenke.";"0";"";"18";"";"";""
"";"1.3";"11v";"";"20100601";"";"Intraarticuläre Injektion";"Große Gelenke.
Je Gelenk und Abrechnungszeitraum sind höchstens sechs Injektionen verrechenbar (ausgenommen Mucopolysaccharidpolyschwefelsäureester).";"0";"";"50";"";"";""
"";"1.3";"11w";"";"20100601";"";"Intraarticuläre Injektion in kleine Gelenke";"Kleine Gelenke.
Je Gelenk und Abrechnungszeitraum sind höchstens sechs Injektionen verrechenbar (ausgenommen Mucopolysaccharidpolyschwefelsäureester).";"0";"";"30";"";"";""
"";"1.3";"12a";"";"20100601";"";"Subcutane Infiltration";"";"0";"";"7";"";"";""
"";"1.3";"12b";"";"20100601";"";"Intramuskuläre Infiltration";"";"0";"";"7";"";"";""
"";"1.3";"12c";"";"20100601";"";"Praesacrale Infiltration (n. Pendl)";"";"0";"";"80";"";"R II";""
"";"1.3";"12d";"";"20100601";"";"Perineurale Infiltration";"";"0";"";"18";"";"";""
"";"1.3";"13a";"";"20100601";"";"Subcutane Infusion";"";"0";"";"20";"";"";""
"";"1.3";"13b";"";"20100601";"";"Intravenöse Infusion";"";"0";"";"25";"";"";""
"";"1.3";"13f";"";"20100601";"";"Jede weitere intravenöse Novocain-Infusion";"";"0";"";"12";"";"";""
"";"1.3";"13e";"";"20100601";"";"Erste intravenöse Novocain-Infusion";"";"0";"";"35";"";"";""
"";"1.3";"13d";"";"20100601";"";"Zuschlag für Dauertropfinfusion";"";"0";"";"10";"";"";""
"";"1.3";"13g";"";"20100601";"";"Intraarterielle Infusion";"";"0";"";"40";"";"";""
"";"1.3";"14a";"";"20100601";"";"Kristall-Implantationen mittels Troikart";"";"0";"";"20";"";"";""
"";"1.3";"14b";"";"20100601";"";"Kristall-Implantationen mittels Incision und Naht";"";"0";"";"35";"";"";""
"";"1.3";"15a";"";"20100601";"";"Diagnostische Impfung";"Pirquet, Moro-Mantoux, Luotest o. Ä. Allergieproben.";"0";"";"6";"";"";""
"";"1.3";"15b";"";"20100601";"";"Therapeutische Impfung";"Cutivaccine, Paspat o. ä.";"0";"";"5";"";"";""
"";"1.3";"16b";"";"20100601";"";"Punktion aus Gelenken";"";"0";"";"30";"";"";""
"";"1.3";"16c";"";"20100601";"";"Punktion aus der Brust- oder Bauchhöhle";"";"0";"";"70";"";"";""
"";"1.3";"16d";"";"20100601";"";"Punktion aus dem Herzbeutel";"";"0";"";"120";"";"";""
"";"1.3";"16e";"";"20100601";"";"Punktion aus dem Rückenmarkskanal (Lumbalpunktion)";"";"0";"";"60";"";"";""
"";"1.3";"16f";"";"20100601";"";"Suboccipitalpunktion";"";"0";"";"100";"";"";""
"";"1.3";"16g";"";"20100601";"";"Vaginale Probepunktion (Douglas)";"";"0";"";"30";"";"";""
"";"1.3";"16h";"";"20100601";"";"Sternalpunktion";"";"0";"";"40";"";"R I";""
"";"1.3";"16i";"";"20100601";"";"Punktion der Prostata";"Maximal dreimal verrechenbar und nicht gemeinsam mit 37i und 37k.";"0";"";"30";"";"";""
"";"1.3";"17a";"";"20100601";"";"Punktion aus dem Schleimbeutel oder einem Abszess oder Serom";"";"0";"";"20";"";"";""
"";"1.3";"17b";"";"20100601";"";"Punktion aus größeren Gelenken, einschließlich eventueller Füllung";"";"0";"";"50";"";"";""
"";"1.3";"17c";"";"20100601";"";"Punktion aus der Brust- oder Bauchhöhle";"";"0";"";"80";"";"";""
"";"1.3";"17e";"";"20100601";"";"Punktion aus dem Rückenmarkskanal (Lumbalpunktion)";"";"0";"";"60";"";"";""
"";"1.3";"17k";"";"20100601";"";"Punktion aus der Harnblase";"";"0";"";"45";"";"";""
"";"1.3";"17i";"";"20100601";"";"Punktion aus dem Wasserbruch mit Einspritzung (Füllung)";"";"0";"";"40";"";"";""
"";"1.3";"17h";"";"20100601";"";"Punktion aus dem Wasserbruch";"";"0";"";"20";"";"";""
"";"1.3";"17g";"";"20100601";"";"Punktion des Liquors bei Kindern aus der Fontanelle";"";"0";"";"60";"";"R I";""
"";"1.3";"18a";"";"20100601";"";"Kälteanästhesie, Oberflächenanästhesie";"";"0";"";"2";"";"";""
"";"1.3";"18b";"";"20100601";"";"Rauschnarkose (auch Trilene)";"";"0";"";"15";"";"";""
"";"1.3";"18c";"";"20100601";"";"Infiltrationsanästhesie";"";"0";"";"10";"";"";""
"";"1.3";"18d";"";"20100601";"";"Leitungsanästhesie";"";"0";"";"18";"";"";""
"";"1.3";"18e";"";"20100601";"";"Intravenöse Narkose";"";"0";"";"30";"";"";""
"";"1.3";"18f";"";"20100601";"";"Lumbalanaesthesie";"";"0";"";"80";"";"";""
"";"1.3";"18g";"";"20100601";"";"Wiederbelebungsversuch bis zu einer halben Stunde";"Darüber hinaus Zeitaufwandsentschädigung.";"0";"";"30";"";"";""
"";"1.3";"18h";"";"20100601";"";"Wiederbelebungsversuch bie Unfällen bis zu einer halben Stunde";"Darüber hinaus Zeitaufwandentschädigung.";"0";"";"40";"";"";""
"";"1.3";"19a";"";"20100601";"";"Untersuchung mit dem Kolposkop";"";"0";"";"17";"";"";""
"";"1.3";"19b";"";"20100601";"";"Endoskopische Untersuchung des Nasen-Rachenraumes oder des Kehlkopfes";"+ R I";"0";"4,9";"20";"";"";""
"";"1.3";"19c";"";"20100601";"";"Endoskopische Untersuchung der Analregion (Proktoskopie)";"+ R I";"0";"";"20";"";"R I";""
"";"1.3";"19d";"";"20100601";"";"Endoskopische Untersuchung der Nasen-Nebenhöhlen";"+ R I";"0";"4,9";"35";"";"";""
"";"1.3";"19e";"";"20100601";"";"Endoskopie der Harnblase (Zystoskopie)";"+ R I";"0";"4,6,16";"35";"";"";""
"";"1.3";"19f";"";"20100601";"";"Endoskopische Untersuchung des Mastdarmes (Rektoskopie)";"+ R I";"0";"";"35";"";"";""
"";"1.3";"19g";"";"20100601";"";"Endoskopische Untersuchung des Cervicalkanales (Endocervicoskopie)";"+ R I";"0";"4,6";"35";"";"";""
"";"1.3";"19h";"";"20100601";"";"Endoskopische Untersuchung der Gebärmutterhöhle (Hysteroskopie)";"+ RI";"0";"";"35";"";"";""
"";"1.3";"20b";"";"20100601";"";"Aushebung des Magens";"";"0";"";"15";"";"";""
"";"1.3";"20c";"";"20100601";"";"Ausspülung des Magens";"";"0";"";"30";"";"";""
"";"1.3";"20g";"";"20100601";"";"Digitaluntersuchung des Mastdarmes";"";"0";"";"5";"";"";""
"";"1.3";"20h";"";"20100601";"";"Bougierung des Mastdarmes oder einer Kolostomiefistel";"";"0";"";"6";"";"";""
"";"1.3";"20i";"";"20100601";"";"Aufblähung des Mastdarmes";"";"0";"";"10";"";"";""
"";"1.3";"20k";"";"20100601";"";"Sphinkterdehnung";"";"0";"";"15";"";"";""
"";"1.3";"21a";"";"20100601";"";"Extraktion eines Zahnes bzw. einer Zahnwurzel: einwurzelig";"";"0";"";"4";"";"";""
"";"1.3";"21ab";"";"20100601";"";"Extraktion eines Zahnes bzw. einer Zahnwurzel: mehrwurzelig";"";"0";"";"6";"";"";""
"";"1.3";"21b";"";"20100601";"";"Setzen von Blutegeln und Saugapparaten";"";"0";"";"10";"";"";""
"";"1.3";"21e";"";"20100601";"";"Lösung von Konglutinationen pro Fall";"";"0";"";"15";"";"";""
"";"1.3";"19k";"";"20100601";"";"Endoskopie der Harnblase mit Funktionsprüfung (Chromozystoskopie)";"+ R II";"0";"";"60";"";"";""
"";"1.3";"19l";"";"20100601";"";"Endoskopische Untersuchung der Harnblase";"Einschließlich Katheterismus und Sondierung eines Harnleiters, eventuell des Nierenbeckens.
R III nur bei Verwendung von Einmal-UK, 1 Stück.
+ R III";"0";"";"53";"";"";""
"";"1.3";"19m";"";"20100601";"";"Endoskopische Untersuchung des Sigmas (Sigmoskopie)";"+ R I";"0";"";"57";"";"";""
"";"1.3";"19n";"";"20100601";"";"Endoskopische Untersuchung der Luftröhre und Bronchien (Tracheo-Bronchoskopie)";"+ R III";"0";"";"87";"";"";""
"";"1.3";"19o";"";"20100601";"";"Endoskopische Untersuchung der Speiseröhre";"Eventuell des Magens (Oesophagoskopie, Gastroskopie).
+ R III";"0";"";"87";"";"";""
"";"1.3";"19p";"";"20100601";"";"Endoskopische Untersuchung der Harnblase";"Einschließlich Katheterismus und Sondierung beider Harnleiter, eventuell beider Nierenbecken.
R IV nur bei Verwendung von Einmal-UK, 2 Stück.
+ R IV";"0";"";"83";"";"";""
"";"1.3";"19q";"";"20100601";"";"Endoskopische Untersuchung einer Gelenkshöhle (Arthroskopie)";"+ R III";"0";"";"83";"";"";""
"";"1.3";"19r";"";"20100601";"";"Endoskopische Untersuchung des Magens";"Eventuell des Duodenums mittels Fiberglasinstrumentes (Gastroskopie, Duodenumskopie).
+ R III";"0";"";"124";"";"";""
"";"1.3";"19s";"";"20100601";"";"Endoskopische Untersuchung des Colons mittels Fiberglasinstrumentes (Coloskopie)";"+ R III";"0";"";"124";"";"";""
"";"1.3";"19u";"";"20100601";"";"Endoskopische Untersuchung der Bauchhöhle (Laparaskopie)";"";"0";"";"190";"";"";""
"";"1.3";"19v";"";"20100601";"";"Endoskopische Untersuchung der oberen Luft- und Speisewege";"Mit Fremdkörperextraktion oder Tumorabtragung.";"0";"";"340";"";"";""
"";"1.3";"20a";"";"20100601";"";"Bougierung der Speiseröhre";"";"0";"";"15";"";"";""
"";"1.3";"21c";"";"20100601";"";"Oszillometrie mit Befundbericht (graphisch)";"Einschließlich thermoelektrischer Messung der Hauttemperatur.";"0";"";"12";"";"";""
"";"1.3";"21d";"";"20100601";"";"Untersuchung auf Pilzbefall mit Woodschem Licht";"";"0";"";"20";"";"";""
"";"1.3";"11c";"";"20100601";"";"Intravenöse Injektion";"";"0";"";"6";"";"";""
